date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:09	1449/1449	---MCZ	404	error ('Not%20Found')	text/html	etag:1631963364-ssl-df	https://ippro.netlify.app/robots.txt		(from )
15:46:09	37558/37558	---MCZ	200	added ('OK')	text/html	etag:%22678ad6c563c3748fc8c29b37df4c4f28-ssl-df%22	https://ippro.netlify.app/	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/index.html	(from )
15:46:10	140930/140930	---MCZ	200	added ('OK')	text/css	etag:%229abc0c1035ddf745d85554a21a9686d5-ssl-df%22	https://ippro.netlify.app/css/bootstrap.css	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/bootstrap.css	(from https://ippro.netlify.app/)
15:46:10	30123/30123	---MCZ	200	added ('OK')	text/css	etag:%22e1e294238d5452aa00b54914cfec96d2-ssl-df%22	https://ippro.netlify.app/plugins/revolution/css/settings.css	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/plugins/revolution/css/settings.css	(from https://ippro.netlify.app/)
15:46:11	146597/146597	---MCZ	200	added ('OK')	text/css	etag:%2236fe7e48f720cb30b8f8802aaaf8767d-ssl-df%22	https://ippro.netlify.app/plugins/revolution/css/layers.css	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/plugins/revolution/css/layers.css	(from https://ippro.netlify.app/)
15:46:11	59576/59576	---MCZ	200	added ('OK')	text/css	etag:%22bddd65cb9a0da7998b89a50ac61b5a09-ssl-df%22	https://ippro.netlify.app/plugins/revolution/css/navigation.css	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/plugins/revolution/css/navigation.css	(from https://ippro.netlify.app/)
15:46:12	196014/196014	---MCZ	200	added ('OK')	text/css	etag:%224422af5b9e0e682e4abd5d4ffaf1dfcb-ssl-df%22	https://ippro.netlify.app/css/style.css	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/style.css	(from https://ippro.netlify.app/)
15:46:12	26505/26505	---MCZ	200	added ('OK')	text/css	etag:%222a79d07bfe0e8f7fd2d9c8efdb6e86a6-ssl-df%22	https://ippro.netlify.app/css/responsive.css	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/responsive.css	(from https://ippro.netlify.app/)
15:46:13	3055/3055	---M-Z	200	added ('OK')	text/css	etag:%228fc90d937e0d3081c9cb5f00f9ed4880-ssl-df%22	https://ippro.netlify.app/css/color-switcher-design.css	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/color-switcher-design.css	(from https://ippro.netlify.app/)
15:46:13	10365/10365	---MCZ	200	added ('OK')	text/css	etag:%2252cea5517ae05a85199767b88195fa62-ssl-df%22	https://ippro.netlify.app/css/color-themes/default-theme.css	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/css/color-themes/default-theme.css	(from https://ippro.netlify.app/)
15:46:14	15406/15406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2213afb7a30157508a38838d1dc509c812-ssl%22	https://ippro.netlify.app/images/favicon.ico	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/images/favicon.ico	(from https://ippro.netlify.app/)
15:46:14	72044/72044	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e67f0876e31c8a01dcda651cdae4f26c%22	https://cdn.weglot.com/weglot.min.js	C:/My%20Web%20Sites/Website_IPPro/cdn.weglot.com/weglot.min.js	(from https://ippro.netlify.app/)
15:46:15	6181/6181	---M--	200	added ('OK')	image/jpeg	etag:b4535074a287f37e75c2219ed64c2e77442e66af	https://d33wubrfki0l68.cloudfront.net/48c7ccb9b168d861130b49429cde46a4d2734526/05661/images/logoippro.jpg	C:/My%20Web%20Sites/Website_IPPro/d33wubrfki0l68.cloudfront.net/48c7ccb9b168d861130b49429cde46a4d2734526/05661/images/logoippro.jpg	(from https://ippro.netlify.app/)
15:46:17	17879/17879	---MCZ	200	added ('OK')	text/html	etag:%22efba81f31bc253fb9988eb1c3448a927-ssl-df%22	https://ippro.netlify.app/about	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/about.html	(from https://ippro.netlify.app/)
15:46:17	18595/18595	---MCZ	200	added ('OK')	text/html	etag:%229c81be8acdddcab32993529103eebd92-ssl-df%22	https://ippro.netlify.app/trademark	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/trademark.html	(from https://ippro.netlify.app/)
15:46:18	18904/18904	---MCZ	200	added ('OK')	text/html	etag:%220ac5dfcdb76b24ea52db673deb647f30-ssl-df%22	https://ippro.netlify.app/patent	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/patent.html	(from https://ippro.netlify.app/)
15:46:19	18113/18113	---MCZ	200	added ('OK')	text/html	etag:%22a8219c47397e8411aa0a264f46c13a1a-ssl-df%22	https://ippro.netlify.app/industrialdesign	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/industrialdesign.html	(from https://ippro.netlify.app/)
15:46:20	19343/19343	---MCZ	200	added ('OK')	text/html	etag:%2287c22bd3dd9d48f0b38adc03c61e83d0-ssl-df%22	https://ippro.netlify.app/intellectual	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/intellectual.html	(from https://ippro.netlify.app/)
15:46:20	16471/16471	---MCZ	200	added ('OK')	text/html	etag:%22cca3084cecff10365b4bcb13c1671e40-ssl-df%22	https://ippro.netlify.app/contact	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/contact.html	(from https://ippro.netlify.app/)
15:46:21	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Dec%202021%2014:46:20%20GMT	https://d33wubrfki0l68.cloudfront.net/fb113804707aa3e110a23814fc05dc6c906a9e6e/2af6f/images/main-slider/tehcnologies.jpg	C:/My%20Web%20Sites/Website_IPPro/d33wubrfki0l68.cloudfront.net/fb113804707aa3e110a23814fc05dc6c906a9e6e/2af6f/images/main-slider/tehcnologies.jpg	(from https://ippro.netlify.app/)
15:46:22	18595/18595	---MCZ	200	added ('OK')	text/html	etag:%229c81be8acdddcab32993529103eebd92-ssl-df%22	https://ippro.netlify.app/trademark.html	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/trademark-2.html	(from https://ippro.netlify.app/)
15:46:22	29003/29003	---M--	200	added ('OK')	image/jpeg	etag:c0542d571338c58a7cfbc6529d5d9481b6fa29c3	https://d33wubrfki0l68.cloudfront.net/ed70c09d1e4742997f46b698ce3fbc0e10766dea/99ad4/images/resource/tr.jpg	C:/My%20Web%20Sites/Website_IPPro/d33wubrfki0l68.cloudfront.net/ed70c09d1e4742997f46b698ce3fbc0e10766dea/99ad4/images/resource/tr.jpg	(from https://ippro.netlify.app/)
15:46:23	875468/875468	---M--	200	added ('OK')	image/jpeg	etag:53e1fc6db8ae448af9ccf117d55f0b609656b44c	https://d33wubrfki0l68.cloudfront.net/09d2178f05a31b4e4f7d29708ab7969c1e250896/8f54f/images/main-slider/batiment-1.jpg	C:/My%20Web%20Sites/Website_IPPro/d33wubrfki0l68.cloudfront.net/09d2178f05a31b4e4f7d29708ab7969c1e250896/8f54f/images/main-slider/batiment-1.jpg	(from https://ippro.netlify.app/)
15:46:24	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Dec%202021%2014:46:24%20GMT	https://d33wubrfki0l68.cloudfront.net/efd1aec50478d6583cb9b92983d3528af51c32f1/901c2/images/resource/patent2.jpg	C:/My%20Web%20Sites/Website_IPPro/d33wubrfki0l68.cloudfront.net/efd1aec50478d6583cb9b92983d3528af51c32f1/901c2/images/resource/patent2.15.delayed	(from https://ippro.netlify.app/)
15:46:25	43132/43132	---M--	200	added ('OK')	image/jpeg	etag:9e41ebbb1dc582c286872adf7312efab3fb75664	https://d33wubrfki0l68.cloudfront.net/4e1a675f92dff930075baa45a51f1eb3e0cfeff3/78b5f/images/resource/industrialdesign.jpg	C:/My%20Web%20Sites/Website_IPPro/d33wubrfki0l68.cloudfront.net/4e1a675f92dff930075baa45a51f1eb3e0cfeff3/78b5f/images/resource/industrialdesign.jpg	(from https://ippro.netlify.app/)
15:46:25	29610/29610	---M--	200	added ('OK')	image/png	etag:%2294fb161f5fb24a9375593ccc0c6bba90-ssl%22	https://ippro.netlify.app/images/ip.png	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/images/ip.png	(from https://ippro.netlify.app/)
15:46:26	249798/249798	---M--	200	added ('OK')	image/jpeg	etag:105d2c1ff180005d12c82f1b04f072c6ba5b51f5	https://d33wubrfki0l68.cloudfront.net/ad058e2e24062f1b04a748de53733fd888d1390c/b5e09/images/intellectual.jpg	C:/My%20Web%20Sites/Website_IPPro/d33wubrfki0l68.cloudfront.net/ad058e2e24062f1b04a748de53733fd888d1390c/b5e09/images/intellectual.jpg	(from https://ippro.netlify.app/)
15:46:26	17994/17994	---M--	200	added ('OK')	image/jpeg	etag:%22f6aa3e471721bd89768b760e728ec2ee-ssl%22	https://ippro.netlify.app/images/bc.jpg	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/images/bc.jpg	(from https://ippro.netlify.app/)
15:46:26	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Dec%202021%2014:46:26%20GMT	https://d33wubrfki0l68.cloudfront.net/1444687064b3131badc976ea74132dddff795e9e/77b6e/images/resource/intel.jpg	C:/My%20Web%20Sites/Website_IPPro/d33wubrfki0l68.cloudfront.net/1444687064b3131badc976ea74132dddff795e9e/77b6e/images/resource/intel.jpg	(from https://ippro.netlify.app/)
15:46:26	2849/2849	---M--	200	added ('OK')	image/png	etag:706a9748a538be874b3d096dac0af48db755dbdc	https://d33wubrfki0l68.cloudfront.net/dce081b4fc5a4c59596bdf9aa814015c9f421b85/bc675/images/logoippro2.png	C:/My%20Web%20Sites/Website_IPPro/d33wubrfki0l68.cloudfront.net/dce081b4fc5a4c59596bdf9aa814015c9f421b85/bc675/images/logoippro2.png	(from https://ippro.netlify.app/)
15:46:26	11415/11415	---M--	200	added ('OK')	image/png	etag:037beeac87202ba55e94e00e806c5ca8276a6b49	https://d33wubrfki0l68.cloudfront.net/b9f01fe3f7f33f8255aa5e8788858983359921a8/1fda9/images/clients/certificate.png	C:/My%20Web%20Sites/Website_IPPro/d33wubrfki0l68.cloudfront.net/b9f01fe3f7f33f8255aa5e8788858983359921a8/1fda9/images/clients/certificate.png	(from https://ippro.netlify.app/)
15:46:27	22857/22857	---M--	200	added ('OK')	image/png	etag:1a936ecd88010d44e33fd94209d9845c428a59cb	https://d33wubrfki0l68.cloudfront.net/9458f7231e16e76e76af707cdcb65a5f6904898a/08cf1/images/clients/prototype.png	C:/My%20Web%20Sites/Website_IPPro/d33wubrfki0l68.cloudfront.net/9458f7231e16e76e76af707cdcb65a5f6904898a/08cf1/images/clients/prototype.png	(from https://ippro.netlify.app/)
15:46:27	5881/5881	---M--	200	added ('OK')	image/png	etag:b2c662e6c5d62d2ba871a20eaa8b6476f7f970f2	https://d33wubrfki0l68.cloudfront.net/f377afa183385b14fed948f542cfe3a9fb90f633/01c2f/images/clients/trademark.png	C:/My%20Web%20Sites/Website_IPPro/d33wubrfki0l68.cloudfront.net/f377afa183385b14fed948f542cfe3a9fb90f633/01c2f/images/clients/trademark.png	(from https://ippro.netlify.app/)
15:46:28	97168/97168	---MCZ	200	added ('OK')	application/javascript	etag:%220970ae0375ed5aaa8e7e06abffcc6cf2-ssl-df%22	https://ippro.netlify.app/js/jquery.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/js/jquery.js	(from https://ippro.netlify.app/)
15:46:28	64896/64896	---MCZ	200	added ('OK')	application/javascript	etag:%2296377c148847c6c2a7136c36f1fc3e7e-ssl-df%22	https://ippro.netlify.app/plugins/revolution/js/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/plugins/revolution/js/jquery.themepunch.revolution.min.js	(from https://ippro.netlify.app/)
15:46:29	110563/110563	---MCZ	200	added ('OK')	application/javascript	etag:%223744dec81e4e07c3e17bf9fff85759cf-ssl-df%22	https://ippro.netlify.app/plugins/revolution/js/jquery.themepunch.tools.min.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/plugins/revolution/js/jquery.themepunch.tools.min.js	(from https://ippro.netlify.app/)
15:46:29	8287/8287	---MCZ	200	added ('OK')	application/javascript	etag:%22442eb032b4a715544cccc09f63924bd4-ssl-df%22	https://ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.actions.min.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.actions.min.js	(from https://ippro.netlify.app/)
15:46:30	7607/7607	---MCZ	200	added ('OK')	application/javascript	etag:%225651f32b7e2ab32f0b87e2d4d4c4cb0e-ssl-df%22	https://ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.carousel.min.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.carousel.min.js	(from https://ippro.netlify.app/)
15:46:30	3754/3754	---MCZ	200	added ('OK')	application/javascript	etag:%226b7e0c923d0cf881444a03f14f730838-ssl-df%22	https://ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.kenburn.min.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.kenburn.min.js	(from https://ippro.netlify.app/)
15:46:31	56000/56000	---MCZ	200	added ('OK')	application/javascript	etag:%221b21b82f5f121d959eb39cbb370b966a-ssl-df%22	https://ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.layeranimation.min.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.layeranimation.min.js	(from https://ippro.netlify.app/)
15:46:31	26101/26101	---MCZ	200	added ('OK')	application/javascript	etag:%2268e6e538b7021895ce7f893c7045ecb7-ssl-df%22	https://ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.migration.min.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.migration.min.js	(from https://ippro.netlify.app/)
15:46:32	26101/26101	---MCZ	200	added ('OK')	application/javascript	etag:%2268e6e538b7021895ce7f893c7045ecb7-ssl-df%22	https://ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.navigation.min.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.navigation.min.js	(from https://ippro.netlify.app/)
15:46:32	10931/10931	---MCZ	200	added ('OK')	application/javascript	etag:%225b946a310228c7284a3f01a3004bdab8-ssl-df%22	https://ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.parallax.min.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.parallax.min.js	(from https://ippro.netlify.app/)
15:46:32	29401/29401	---MCZ	200	added ('OK')	application/javascript	etag:%22df74780caa1b7256617b9c9e19f3dffe-ssl-df%22	https://ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.slideanims.min.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.slideanims.min.js	(from https://ippro.netlify.app/)
15:46:33	24211/24211	---MCZ	200	added ('OK')	application/javascript	etag:%22f994b508f0e6bd30914c47f773262a89-ssl-df%22	https://ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.video.min.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/plugins/revolution/js/extensions/revolution.extension.video.min.js	(from https://ippro.netlify.app/)
15:46:33	6013/6013	---MCZ	200	added ('OK')	application/javascript	etag:%225a1cc6bb18a9ff7d0fbfd5dd5b98e64c-ssl-df%22	https://ippro.netlify.app/js/main-slider-script.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/js/main-slider-script.js	(from https://ippro.netlify.app/)
15:46:34	20498/20498	---MCZ	200	added ('OK')	application/javascript	etag:%2245985ae854a1b5561a3da6090fc0e87b-ssl-df%22	https://ippro.netlify.app/js/popper.min.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/js/popper.min.js	(from https://ippro.netlify.app/)
15:46:34	50731/50731	---MCZ	200	added ('OK')	application/javascript	etag:%22944c521e6327cb49c8b4e464bfb2dd56-ssl-df%22	https://ippro.netlify.app/js/bootstrap.min.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/js/bootstrap.min.js	(from https://ippro.netlify.app/)
15:46:35	40547/40547	---MCZ	200	added ('OK')	application/javascript	etag:%22b3f388b1c8035f43df45e39f42b76db8-ssl-df%22	https://ippro.netlify.app/js/jquery.mCustomScrollbar.concat.min.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/js/jquery.mCustomScrollbar.concat.min.js	(from https://ippro.netlify.app/)
15:46:36	154104/154104	---MCZ	200	added ('OK')	application/javascript	etag:%22c99c58748c9a794db423e8a0f947c088-ssl-df%22	https://ippro.netlify.app/js/jquery.fancybox.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/js/jquery.fancybox.js	(from https://ippro.netlify.app/)
15:46:36	85303/85303	---MCZ	200	added ('OK')	application/javascript	etag:%220fb4adb1de33c0b565f0ba70fbb62253-ssl-df%22	https://ippro.netlify.app/js/owl.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/js/owl.js	(from https://ippro.netlify.app/)
15:46:37	6300/6300	---MCZ	200	added ('OK')	application/javascript	etag:%222df2ab22c04c9b31fdc7a768daf5628e-ssl-df%22	https://ippro.netlify.app/js/wow.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/js/wow.js	(from https://ippro.netlify.app/)
15:46:37	4379/4379	---M-Z	200	added ('OK')	application/javascript	etag:%22c9abe6fa93710348f3dfdbea2a5d649d-ssl-df%22	https://ippro.netlify.app/js/appear.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/js/appear.js	(from https://ippro.netlify.app/)
15:46:38	37779/37779	---MCZ	200	added ('OK')	application/javascript	etag:%22311ac9aaf5477e52e5d06100de46dd2f-ssl-df%22	https://ippro.netlify.app/js/isotope.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/js/isotope.js	(from https://ippro.netlify.app/)
15:46:39	12118/12118	---MCZ	200	added ('OK')	application/javascript	etag:%223eac7f4a6b1fe0855468e6efaa45a792-ssl-df%22	https://ippro.netlify.app/js/script.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/js/script.js	(from https://ippro.netlify.app/)
15:46:39	539425/539425	---MCZ	200	added ('OK')	application/javascript	etag:%220bf294460fd606f72b207b82ce2b2994-ssl-df%22	https://ippro.netlify.app/js/jquery-ui.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/js/jquery-ui.js	(from https://ippro.netlify.app/)
15:46:39	281/281	---M--	200	added ('OK')	application/javascript	etag:%22f030cf891d07492634a1b37c312d0b1c-ssl%22	https://ippro.netlify.app/js/in.js	C:/My%20Web%20Sites/Website_IPPro/ippro.netlify.app/js/in.js	(from https://ippro.netlify.app/)
